ABOO AVL Rojinegro
67353302 2243500 2150209
14195608 2109489 1889970
66520661 2262660 2151919
18343837 2108920 2040440
9804449 1492100 1706759
64264292 2015190 2072190
16199118 1850970 1569419
74389411 2306120 1971750
16802738 1652600 1551999
9775069 1816900 1522170
68062261 2031169 1822740
8934948 1786789 1946640
9766849 1864670 54715723
11684358 1648480 1387500
8421939 2041190 1415580
7742119 1514090 1393629
9174168 1894180 1608760
13086108 1926040 1649800
7974819 1447950 1641869
8108579 1752840 1831800
60891902 1863070 1475000
14457008 1851830 1417860
7357299 1465560 1401649
9159518 1496520 1450820
59454992 1826040 1601160
12100279 1645610 2046839
8614239 1764870 2066070
7315969 1602430 1420910
64812613 1867809 1790270
7354219 1460590 1412890
7858259 1416889 1494499
8529239 1679100 54977653
16329597 1887740 1766950
10754659 2131659 1939740
65986302 1442940 1908280
12004638 2576070 2146179
9032358 1780820 1562290
8877699 1942210 1739710
20034818 2019470 1858270
11005888 1918629 2003780
9524059 1657910 50702254
12548708 1864010 2063009
11650098 1608050 1667340
7527649 1445659 1348840
69148281 1766121 2061300
10013999 1779220 1957590
11364518 1929810 1820630
62922502 1895510 1772340
15079019 2297620 2344409
12381058 1443280 1572669
68950542 1758290 1852009
11712539 1549290 1707239
7860150 1444999 1779180
69564701 1953139 1963500
15189198 2189860 2051529
70275642 1918640 1622539
13095269 1724960 2091909
18816618 1544660 50277194
13542108 2020630 1663920
8367019 1453140 1404830
5897249 1478810 1471050
6185330 1407419 1421770
64175372 1552710 1812400
12369628 1561210 2053130
85743049 1470800 1833250
9901418 1603250 1390610
99832248 2057570 5844760
73926531 1781990 1406649
11382959 1589090 1830480
71732902 2087229 1495620
15833798 1768580 1386540
7514059 1586020 1537580
6207400 1446020 1409950
59850692 2134110 1434520
8358369 1603289 1680720
6103539 1402840 1765320
7386820 1509309 1581080
64464992 1544190 1534990
8278589 1726490 1541270
7555669 1424410 1395770
8572209 2105540 1531460
6958980 50790813 1396540
10216629 1775650 1362660
6838689 1548250 1814939
7014359 1540020 1412770
6674529 1479780 1371819
64802693 1598090 1682540
8418929 1918520 1964970
12314819 1766889 1740580
69154111 1753810 1936300
10495468 1798789 2051820
11379769 1767890 1372040
65588452 2022510 1519910
12847628 1799130 2022180
12224818 1694030 1546180
67274962 1710559 1760950
13111238 1722410 1643540
11913379 54962243 1796580
15488878 1995169 2147470
11431889 1555589 1678450
8367889 1576370 57591953
12889758 2092840 1636610
13120978 1935389 1696320
14671088 1979390 46514334
10193888 1468900 1621030
7900469 1642000 1540890
7488189 1519080 1892000
8006839 1736590 55439753
34181796 2072490 1602150
6516869 1408530 1361220
5882809 1538570 1396960
47445774 2092129 1984030
15531438 1503300 1726260
9762499 2097890 2102319
66972471 1582420 1757160
7666859 1690901 1658490
7945609 1522070 1648100
7741609 1801540 1490129
62629922 1916190 2016149
10225639 1938990 1422240
11468758 1721710 1659630
74648181 1888450 2094810
12796729 1758579 1664660
8538629 1539090 1561880
67077702 2184489 1813600
12243688 1740801 1630900
11075419 54752234 1776919
22276798 1984700 1884840
12764649 1919810 1795100
62066642 1642390 1396060
10490308 1869260 2001530
13218708 2063390 1997839
69087062 1878930 1634190
10005038 1628170 1818990
10981188 1652599 1733310
84676250 1907339 1459069
15139749 1827230 1869520
43523705 1970790 1562740
27831947 2536339 2314650
74910351 4675449 2965890
30213436 4914430 2257919
69432092 2208249 2272630
76294251 2092020 2232199
17777618 2194600 2234649
12819878 1979150 2147029
71101572 2633390 2650510
20417017 55143324 2121370
102921427 2009110 2250939
20917777 1878230 2011800
21327767 2172680 1959570
14748398 60905992 1672140
15247267 2102139 2070930
13527578 2175770 2114170
61092872 6175339 2019950
23049677 2242480 2036940
88209349 2079870 1966149
28316797 1853590 41668864
26947837 2338540 2093300
69802002 2481540 2191519
20350778 2197840 2295940
92682059 3051080 2304769
65149141 2240910 2340310
24086877 6945279 1699150
70201691 2149450 1958139
20055688 2425650 2149409
68136112 2207970 3021140
15703218 2137779 1635190
18903578 50708383 1579310
25147447 2193580 2238240
17517328 52171643 2791460
28327666 2115350 1870210
12769768 2167570 1924920
67830371 2115860 2176120
12091388 1997440 1544400
70438461 2151050 1950090
12832448 2145050 2033150
14619758 2073580 2085830
70163292 2100230 1975930
16962578 1899000 1993169
